Sentence,Idiom,NumOfWordsBetween,BetweenPOS,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG,Usage
the guard blow smoke out through the doorway,blow_smoke,0,[],NN1,AT0,AVP,PRP,1,8,0.06875,L
he blow gitane smoke in he employer 's direction,blow_smoke,1,['NP0-NN1'],PNP,,PRP,DPS,1,9,-0.0926,L
he light a cigarette and blow smoke in she direction,blow_smoke,0,[],CJC,NN1,PRP,DPS,1,10,-0.097166667,L
he light one stand beside donna blow smoke out of the window,blow_smoke,0,[],NP0-NN1,PRP,AVP,PRF,1,12,-0.0367,L
he put he cigarette to he lip draw in smoke sit silent and impassive for some moment then blow the smoke out of he nose in two impassive grey plume,blow_smoke,1,['AT0'],AV0,NN2,AVP,PRF,2,30,0.021681818,L
morris blow smoke down he nose,blow_smoke,0,[],NP0,,AVP-PRP,DPS,1,6,-0.289,L
mrs. mounce blow out cigarette smoke provocatively narrow she eye against it sting,blow_smoke,2,"['AVP', 'NN1']",NP0,NP0,AV0,VVG,1,13,-0.31225,L
she draw the cigarette from she lip and blow out the smoke thoughtfully,blow_smoke,2,"['AVP', 'AT0']",CJC,NN2,AV0,,1,13,0.110888889,L
softly he sigh draw in deeply on the cigarette blow the smoke languidly towards the leafy canopy and say,blow_smoke,1,['AT0'],NN1,AT0,AV0,PRP,1,19,0.153,L
the tv presenter suck extravagantly on she cigarette and blow out the smoke over she left shoulder,blow_smoke,2,"['AVP', 'AT0']",CJC,NN1,PRP-AVP,DPS,1,17,-0.0155,L
jane pargeter inhale and blow the smoke out with a pout of self-righteousness remind dexter of a spoilt and naughty child,blow_smoke,1,['AT0'],CJC,VVD,AVP,PRP,1,21,-0.118857143,L
hold the cow 's tail he lean on the hairy back and empty-eyed blow smoke from the pipe which like most farmer at a cleansing he have prudently light at the outset and of course since the going be heavy it just would happen that the job take much longer than usual,blow_smoke,0,[],AJ0,CJC,PRP,AT0,1,52,0.2599375,L
he blow smoke pleasurably from he nostril,blow_smoke,0,[],PNP,,AV0,PRP,1,7,-0.56,L
he light one of the cigar which he smoke nonstop and blow rich smoke upwards,blow_smoke,1,['AJ0'],CJC,AJ0-AV0,AV0,,2,15,-0.0377,L
she blow smoke serenely as he flick it at the wall,blow_smoke,0,[],PNP,,AV0,CJS,1,11,-0.2325,L
when i can not hold it any longer i blow the smoke into he mouth,blow_smoke,1,['AT0'],PNP,AV0,PRP,DPS,1,15,0.422166667,L
he give i another burn and he have one for himself blow the smoke back into i mouth afterwards,blow_smoke,1,['AT0'],PNX,PRP,AVP,PRP,1,19,0.2621,L
and he blow the smoke back into i mouth,blow_smoke,1,['AT0'],PNP,CJC,AVP,PRP,1,9,0.341,L
the novelty be in the clean and smiling way he say they blow out gray smoke ring at the same time,blow_smoke,2,"['AVP', 'AJ0']",PNP,VVD,VVZ-NN2,PRP,1,21,0.289,L
then we spend five minute blow cigar smoke at each other until stok say lenin do not smoke hate flower never have a soft chair in he office have only the simple food like read turgenev and always have he watch fifteen minute slow,blow_smoke,1,['NN1'],NN2,CRD,PRP,DT0,2,44,0.010714286,L
she blow smoke at i,blow_smoke,0,[],PNP,,PRP,PNP,1,5,-0.475,L
he blow smoke at i,blow_smoke,0,[],PNP,,PRP,PNP,1,5,-0.475,L
she blow smoke in a pale blue stream through rounded lip,blow_smoke,0,[],PNP,,PRP,AT0,1,11,0.055555556,L
she blow smoke out cough and hand he the cigarette and he take it without a word,blow_smoke,0,[],PNP,,AVP,VVD-VVN,1,17,-0.0885,L
he blow cigarette smoke irritably across the room,blow_smoke,1,['NN1'],PNP,,AV0,PRP,1,8,-0.1445,L
he have make a cigarette and now he light it look at braden as he blow the smoke up in the air,blow_smoke,1,['AT0'],PNP,CJS,AVP,PRP,1,22,0.314583333,L
obviously not all shaman practice be applicable in the modern world one procedure involve blow tobacco smoke over a sick person because it be believe to have magical healing power i can not see that sell too well today,blow_smoke,1,['NN1'],VVD,NN1,PRP-AVP,AT0,1,39,0.282538462,L
shelley blow smoke in she dog 's face,blow_smoke,0,[],NP0,,PRP,DPS,1,8,0.1522,L
who know you may never blow you top in a traffic jam again,blow_top,1,['DPS'],AV0,VM0,PRP,AT0,1,13,-0.194,I
not for nothing be he know as windy when upset he really do blow he top but he bark be bad than he bite he be an excellent teacher and take both standard six and seven,blow_top,1,['DPS'],VDD,AV0,CJC,DPS,1,36,0.107333333,I
it be the first time in year that i have blow i top in such a way and i vow that it would never happen again that i would save all i aggression for the track,blow_top,1,['DPS'],VHD,PNP,PRP,DT0,1,36,0.192789474,I
he have be know to blow he top after a child in the room have pass wind make no allowance for the age of the boy a four-year old and the fact of he parent be guest,blow_top,1,['DPS'],TO0,VVN,CJS,AT0,1,37,0.526923077,I
the mist would blow off the top of the,blow_top,2,"['PRP-AVP', 'AT0']",VM0,NN1,PRF,AT0,1,9,0.278625,L
he blow the top of he tea and sip it,blow_top,1,['AT0'],PNP,,PRF,DPS,1,10,0.342833333,L
crosby have maintain he dignity despite a constant catalogue of name link with the post a catalogue of name have be link with the job in the past but crosby blow he top after learning of the coppell approach,blow_top,1,['DPS'],NP0,CJC,PRP-CJS,NN1,1,39,0.548434783,I
crosby blow he top after learning of the coppell link and say yesterday i be angry and upset to read somebody connect with the club have be in contact with steve coppell,blow_top,1,['DPS'],NP0,,PRP-CJS,NN1,1,32,0.245944444,I
manager crosby want a meeting with chairman bob murray this weekend after blow he top over claim that crystal palace boss steve coppell have be approach about he job,blow_top,1,['DPS'],PRP,NN1,PRP-AVP,NN2-VVZ,1,29,0.294428571,I
while kenny be the quiet man before and during a match graeme be more volatile and likely to blow he top if he demand be not meet,blow_top,1,['DPS'],TO0,AJ0,CJS,DPS,1,27,0.300181818,I
two year later raft blow he top at peter lorre during a scene in background to danger in which lorre and sydney greenstreet tie raft up,blow_top,1,['DPS'],NN1,AV0,PRP,NP0,1,26,0.057692308,I
sinatra blow he top and accuse both lawford of cover up what he see as a vendetta be wage by bobby against he,blow_top,1,['DPS'],NP0-NN1,,CJC,VVD,1,23,0.2736,I
i used to get so angry on the set that one day i just blow i top and hit john huston,blow_top,1,['DPS'],AV0,PNP,CJC,VVD,1,21,0.099181818,I
what with the heat the fiddly bit and then he i be ready to blow i top,blow_top,1,['DPS'],TO0,AJ0,,,2,17,0.296444444,I
jenkinson blow he top after miss a penalty at plymouth on friday night,blow_top,1,['DPS'],NP0-NN1,,PRP,VVG,1,13,-0.262666667,I
angry city boss peter reid blow he top at send off striker niall quinn,blow_top,1,['DPS'],NP0,NP0,PRP,VVN-VVD,1,14,-0.190571429,I
linford blow he top in relay bust-up,blow_top,1,['DPS'],NN1-NP0,,PRP,NN1,1,7,0.047333333,I
linford christie blow he top at he sleeping partner yesterday and then blast they to the chance of an olympic medal,blow_top,1,['DPS'],NP0,NP0,PRP,DPS,1,21,0.278909091,I
it be this beautiful lady that blow she top in 1450 bc with four time the explosively destructive power of krakatoa,blow_top,1,['DPS'],CJT,NN1,PRP,CRD,1,21,0.3783,L
it be unusual for hauser to blow he top,blow_top,1,['DPS'],TO0,NP0,,,1,9,0.1724,I
if you blow you top they will nick you double quick,blow_top,1,['DPS'],PNP,CJS,PNP,VM0,1,11,0.0298,I
more like a volcano erupt than a steam engine blow it top nick always say but he be touchy about it because it make he sick the first time,blow_top,1,['DPS'],NN1,NN1,NP0,AV0,1,29,0.042571429,L
whereupon he blow he top and declare well i will not make the announcement but i will never talk to you again,blow_top,1,['DPS'],PNP,CJS,CJC,VVD,1,22,0.3296,I
whether the ipswich director who watch he blow he top with the unwitting journalist believe that be debatable,blow_top,1,['DPS'],PNP,VVD,PRP,AT0,1,18,0.2768,I
when she smile that big smile with she slightly too big mouth and too many very white tooth it be as if the explosion be start to blow the top of she head off,blow_top,1,['AT0'],TO0,VVG,PRF,DPS,1,34,0.19135,L
it have i roll on the floor to see schmeichel blow he top at the scum defence,blow_top,1,['DPS'],NP0,VVI,PRP,AT0,1,17,0.251272727,I
sorry i blow i top but i have vision of find you down there on the rock like the first time,blow_top,1,['DPS'],PNP,AJ0,CJC,PNP,1,21,0.251692308,I
striker slaven blow he top after be axe from the side which grab a draw at bristol city in midweek,blow_top,1,['DPS'],NP0,NN1,PRP,VBG,1,20,0.130181818,I
unashamedly blow he own trumpet he also consider that many of the people he select for management role in esso be do a good job than the people before they,blow_trumpet,2,"['DPS', 'DT0']",AV0,,PNP,AV0,1,30,0.439333333,I
i be not terribly good at blow i own trumpet though,blow_trumpet,2,"['DPS', 'DT0']",PRP,AJ0,AV0,,1,11,0.1938,Q
there be nothing leave either in womanpower or fund to devote to blow we own trumpet so we have be unable to impress you with the extent and importance of we work,blow_trumpet,2,"['DPS', 'DT0']",PRP,VVI,CJS,PNP,1,32,0.362421053,I
when call upon to tell we of the exemplary condition in he new factory at bournville mr cadbury he look bely he year and status refuse to blow he own trumpet and blushingly decline to speak,blow_trumpet,2,"['DPS', 'DT0']",TO0,VVD-VVN,CJC,AV0,1,36,0.193869565,I
if the trumpet of britain have not be blow loud and long from st mary 's a different myth would have grow give all the credit to america,blow_trumpet,18,"['AV0-AJ0', 'CJC', 'AV0-AJ0', 'PRP', 'NP0', 'NP0', 'POS', 'AT0', 'AJ0', 'NN1', 'VM0', 'VHI', 'VVN', 'VVG', 'DT0', 'AT0', 'NN1', 'PRP']",VBN,XX0,,,1,28,0.313941176,Q
the referee blow a toy trumpet and harry payne give the golf club a mighty hit with he bat break the shaft in two,blow_trumpet,2,"['AT0', 'NN1-AJ0']",NN1,AT0,CJC,NP0,1,24,0.260411765,L
i do not like to blow i own trumpet but i good half could eat it to a band play,blow_trumpet,2,"['DPS', 'DT0']",TO0,VVI,CJC,DPS,1,20,0.466727273,Q
he offend the king in some way and be summarily hang appear since as a shaggy man wear a great set of stag 's horn and blow a trumpet,blow_trumpet,1,['AT0'],CJC,NN2,,,1,29,0.169176471,L
kirsty milne wish that the bbc art department would blow it own trumpet,blow_trumpet,2,"['DPS', 'DT0']",VM0,NN1,,,1,13,0.412142857,I
but if the watchman see the sword come and do not blow the trumpet to warn the people,blow_trumpet,1,['AT0'],XX0,VDZ,TO0,VVI,1,18,0.556615385,L
for too long we christian have hear the modern world blow it own trumpet,blow_trumpet,2,"['DPS', 'DT0']",NN1,AJ0,,,1,14,0.491909091,I
next morning the trumpet be blow at the north gate and the knight marischal 's banner hoist with shouted demand for king edward to appear,blow_trumpet,18,"['PRP', 'AT0', 'NN1', 'NN1', 'CJC', 'AT0', 'NP0', 'NP0', 'POS', 'NN1', 'VVD-VVN', 'PRP', 'AJ0', 'NN2', 'PRP', 'NP0', 'NP0', 'TO0']",VBD,NN2,,,1,25,0.445352941,L
and we will blow we own trumpet somewhere else and sometime else,blow_trumpet,2,"['DPS', 'DT0']",VM0,PNP,AV0,AV0,1,12,0.5304,I
a band in gold-braided uniform blow long brass trumpet,blow_trumpet,2,"['AJ0', 'NN1']",NN2,AJ0,,,1,9,0.303285714,L
the unit which do all of the firm 's unix port work will start to blow it own trumpet in the new year when the late workflow automation technique in it client/server and unix software will be on parade,blow_trumpet,2,"['DPS', 'DT0']",TO0,VVI,PRP,AT0,1,39,0.27825,I
however by the end of july pyramid will be blow it own trumpet again announce the top-end system which olivetti have already show with a maximum 24 r3000 processor two on each board as the es server line ux no 386,blow_trumpet,2,"['DPS', 'DT0']",VBI,VM0,AV0,VVG,1,41,0.420636364,I
cj do not need to blow he own trumpet,blow_trumpet,2,"['DPS', 'DT0']",TO0,VVI,,,1,9,0.573166667,Q
blow you own trumpet be not a very british thing to do so we will have to blame it on we germanic streak but gtf really be incredibly efficient,blow_trumpet,2,"['DPS', 'DT0']",,AV0,VBZ,XX0,1,29,0.183769231,I
merseyside can not blow a national trumpet,blow_trumpet,2,"['AT0', 'AJ0']",XX0,VM0,,,1,7,0.291333333,I
i hope by share the struggle and vision of the people in both world that more people will be inspire to blow the trumpet which will one day sound the tune for the march of humanity into progress,blow_trumpet,1,['AT0'],TO0,VVN,DTQ,VM0,1,38,0.509269231,Q
then the white rabbit blow he trumpet three time and call out first witness,blow_trumpet,1,['DPS'],NN1,AJ0,CRD,NN2,1,14,0.145454545,L
while we be promote i own show and blow i own trumpet er this afternoon jenny be on for i for i this afternoon,blow_trumpet,2,"['DPS', 'DT0']",CJC,NN1,UNC,DT0,1,24,0.157909091,I
we have often meet people like that who blow they trumpet er pretend they be somebody else,blow_trumpet,1,['DPS'],PNQ,DT0,UNC,VVG,1,17,0.207333333,I
most be reluctant defensive or simply hesitant to blow they own trumpet,blow_trumpet,2,"['DPS', 'DT0']",TO0,AJ0,,,1,12,0.106875,Q
it be for this reason i have go against i initial instinct not to blow we own trumpet on this at the risk of provoke more bad loser comment from certain people and let i stress i do not mean the runners-up communicate to i,blow_trumpet,2,"['DPS', 'DT0']",TO0,XX0,PRP,DT0,1,45,0.237888889,I
come on she do not need you to blow she trumpet,blow_trumpet,1,['DPS'],TO0,PNP,,,1,11,0.565666667,Q
oh well scornfully if it be just so you can blow you own trumpet,blow_trumpet,2,"['DPS', 'DT0']",VM0,PNP,,,1,14,0.266714286,Q
well i think you know i be a naturally optimistic sort of person and i i be not er sort of blow i own trumpet here i i i erm look on life with a great deal of optimism er touch wood i have be fairly lucky in i life,blow_trumpet,2,"['DPS', 'DT0']",PRF,NN1,AV0,PNP,1,50,0.505115385,I
garland in the telegraph have draw a cartoon of a kilted bare-arsed robertson blow he trumpet circle a walled city full of obvious tory labelled jericho,blow_trumpet,1,['DPS'],NP0,NN1-AJ0,VVG,AT0,1,26,0.440333333,L
once the vote on europe have be take an overwhelming majority in favour of the platform 's motion he have slip out of the hall pause only to watch and listen while at the bidding of the camera the national chairman of the ycs blow he trumpet for the umpteenth time,blow_trumpet,1,['DPS'],NP0,AT0,PRP,AT0,1,51,0.511108108,I
the setting for crawford 's second child 's film foundation production blow you own trumpet be a northern mining town and feature peter butterworth well know for he appearance in child 's television programme,blow_trumpet,2,"['DPS', 'DT0']",NN1,NN1,VBD,AT0,1,34,0.370952381,Q
an angel hover over they head blow a yellow trumpet,blow_trumpet,2,"['AT0', 'AJ0']",NN2,DPS,,,2,10,0.124857143,L
the gold letter m o r s encircle the globe and ultimate judgement be depict in the heaven above where angel blow the last trumpet and christ reign in glory,blow_trumpet,2,"['AT0', 'ORD']",NN2,CJS-AVQ,CJC,NP0,1,30,0.501142857,L
blow a trumpet very loudly,blow_trumpet,1,['AT0'],,AV0,AV0,AV0,1,5,-0.19225,L
captain fantastic do very well she agree she tone a little weary because the young man have not only spend every minute of the previous evening blow he own trumpet but much of they journey today too,blow_trumpet,2,"['DPS', 'DT0']",NN1,AJ0,CJC,DT0,1,37,0.386730769,Q
pipe band blow it own trumpet,blow_trumpet,2,"['DPS', 'DT0']",NN1,NN1-VVB,,,1,6,0.3748,Q
despite a unique record of achievement be recent year he can never be accuse of blow he own trumpet,blow_trumpet,2,"['DPS', 'DT0']",PRF,VVN,,,1,19,0.300333333,I
but even the treasury be reluctant to blow a trumpet yesterday because the upturn come entirely from a leap of 6.3 per cent in oil and gas output,blow_trumpet,1,['AT0'],TO0,AJ0,AV0,CJS,1,28,0.307647059,I
wendy picton can go one good than blow she own trumpet,blow_trumpet,2,"['DPS', 'DT0']",CJS,AJC,,,1,11,0.300166667,I
though not one to blow he own trumpet 24-year-old lee rigg be delighted to be award one of the top brass band honour in britain in december,blow_trumpet,2,"['DPS', 'DT0']",TO0,PNI,AJ0,NP0,1,27,0.3446,I
be you go to blow the whistle on the whole lot i mean the university people as well,blow_whistle,1,['AT0'],TO0,VVG,PRP,AT0,1,18,0.576153846,I
occasionally one feel as a teacher rather like a soccer referee who have blow he whistle for the kick-off find the player disconcertingly reluctant to make a move and be reduce to dribble the ball himself furiously from end to end score brilliant goal in undefended net while the motionless player look curiously on,blow_whistle,1,['DPS'],VHG,PNQ,PRP,AT0,1,54,0.102552632,L
however a shocked danish bureaucrat blow the whistle on mr hocke as that refugee education fund be only supposed to be for mr hartling and not any old non-danish high commissioner,blow_whistle,1,['AT0'],NN1,AJ0,PRP,NP0,1,31,0.132083333,I
someone blow a whistle and this train start rumble like it be get ready to drive off,blow_whistle,1,['AT0'],PNI,,CJC,DT0,1,17,0.1911,L
suddenly he jump high in the air referee steve griffith signal that the kick be good blow he whistle for time and that be that,blow_whistle,1,['DPS'],AJ0,VBD,PRP,NN1,1,25,0.275666667,L
the referee be report to have blow the final whistle outside he dressing-room door,blow_whistle,2,"['AT0', 'AJ0']",VHI,TO0,PRP,DPS,1,14,0.080454545,L
he blow a whistle and a group of man march down the path with precision and stand silently on the shoreline,blow_whistle,1,['AT0'],PNP,,CJC,AT0,1,21,0.171538462,L
such whistle be blow only during war to offer the warrior supernatural protection,blow_whistle,8,"['AV0', 'PRP', 'NN1', 'TO0', 'VVI', 'AT0', 'NN1', 'AJ0']",VBD,NN2,,,2,13,0.145,L
quick blow you whistle,blow_whistle,1,['DPS'],AJ0-AV0,,,,1,4,-0.001666667,L
there be even self-appointed morality patrol recruit from the rank of the born-again christian who would blow the whistle on indecency on the beach,blow_whistle,1,['AT0'],VM0,PNQ,PRP,NN1,1,24,0.477357143,I
it be the phone-call that blow the whistle on one of scottish football 's big blow out a night of post-match revelry which will be warmly remember as five go mad in denmark,blow_whistle,1,['AT0'],CJT,NN1-AJ0,PRP,CRD,1,33,0.2032,I
i blow i whistle,blow_whistle,1,['DPS'],PNP,,,,1,4,-0.075,L
it be no use blow a whistle ask for help if you know the policeman be a couple of mile away,blow_whistle,1,['AT0'],NN1-VVB,AT0,VVG,PRP,2,21,0.243538462,L
i blow i whistle till i blow the pea out of it,blow_whistle,1,['DPS'],PNP,,CJS,PNP,1,12,0.129142857,L
it could spot border violation and blow the whistle on breach of cease-fire agreement,blow_whistle,1,['AT0'],CJC,NN2,PRP,NN2,1,14,0.131888889,I
the person organize the party can come dress as a referee and in game such as bus stop p.41 where instruction be give blow a whistle to attract attention for the various instruction,blow_whistle,1,['AT0'],VVN,VBB,TO0,VVI,1,33,0.174,L
then explain the rule of the game which be that when a whistle be blow the child leave they seat to go on a bus ride,blow_whistle,10,"['AT0', 'NN2', 'VVB', 'DPS', 'NN2', 'TO0', 'VVI', 'PRP-AVP', 'AT0', 'NN1']",VBZ,NN1,,,1,26,0.344625,L
the umpire blow he whistle,blow_whistle,1,['DPS'],NN1,AT0,,,1,5,-0.03375,L
he might as well have be blow a dog whistle for all we hear of he wasted energy,blow_whistle,2,"['AT0', 'NN1']",VBN,VHI,PRP,DT0,1,18,0.089181818,L
michael meacher mp on the threat to people who blow the whistle on they employee,blow_whistle,1,['AT0'],PNQ,NN0,PRP,DPS,1,15,0.313,I
censorship shut up or get out michael meacher mp report on the growing threat to people who blow the whistle on they employer,blow_whistle,1,['AT0'],PNQ,NN0,PRP,DPS,1,23,0.013533333,I
one recent example be vaughan mitchell an oil rig welder who blow the whistle on safety violation by he drilling company on a north sea oil rig two month after the piper alpha disaster,blow_whistle,1,['AT0'],PNQ,NN1,PRP,NN1,1,34,0.081904762,I
however if player then attempt to hold the ball within the maul the whistle will be blow,blow_whistle,0,[],VBI,VM0,,,1,17,0.454833333,L
he be shoot in cold blood because he know too much and be about to blow the whistle a detective say,blow_whistle,1,['AT0'],TO0,AVP,AT0,NN1,1,21,0.218416667,I
geoffrey turner the sfa 's director of membership and regulatory service tell accountancy lord justice bingham in he bcci report recommend that a statutory compulsion be place on auditor of bank to blow the whistle to the regulator,blow_whistle,1,['AT0'],TO0,NN2,PRP,AT0,1,38,0.23896,I
suddenly an officer blow a whistle and the vigilantee be overpower arrest and bring to the army base on church road,blow_whistle,1,['AT0'],NN1,AT0,CJC,AT0,1,21,0.149142857,L
the film in progress when i arrive show a football match between a team of nun and a team of soldier and every time the referee blow he whistle for a penalty which be every few second the player concerned have to lose a garment,blow_whistle,1,['DPS'],NN1,AT0,PRP,AT0,1,45,0.175757576,L
a few people be on the platform the station staff busy themselves with mail bag and other item of luggage and parcel at last the guard blow he whistle,blow_whistle,1,['DPS'],NN1,AT0,,,1,29,0.160111111,L
mr wishart hurry off to the refreshment room luckily get serve straight away and with difficulty get back to the compartment just as the guard be blow he whistle the old lady take one of the paper cup of tea and murmur she thanks,blow_whistle,1,['DPS'],VBD,NN1,AT0,AJ0,1,44,0.265628571,L
the guard blow he whistle mr wishart climb back into the compartment and sit down,blow_whistle,1,['DPS'],NN1,AT0,NP0,NP0,1,15,0.2571,L
and someone in the interior ministry might blow the whistle on you,blow_whistle,1,['AT0'],VM0,NN1,PRP,PNP,1,12,0.384,I
mother play the piano sister hazel dance father blow the swanee whistle and i do recitation,blow_whistle,2,"['AT0', 'NN1-NP0']",NN1,VVD,CJC,PNP,1,16,0.290583333,L
with continual borrowing over two year the bank have blow the whistle,blow_whistle,1,['AT0'],VHD,NN1,,,1,12,0.011272727,I
after lamb have blow the whistle on the pakistani dexter seem to want to wash he hand of anything lamb be do suggest that the northants captain 's forthright comment would not just end with a fine and a suspension from he county boss,blow_whistle,1,['AT0'],VHD,NP0,PRP,AT0,1,44,0.42156,I
david have a very good game at leeds apart from not apply the golden rule of play until the ref blow he whistle,blow_whistle,1,['DPS'],NN1,AT0,,,1,23,0.246142857,L
the reason be simple the queen prince andrew prince charles and a very nervous prince edward be petrified she will blow the whistle on they in print,blow_whistle,1,['AT0'],VM0,PNP,PRP,PNP,2,27,0.267466667,I
the whistle be blow on chelsea fan mellor 's game,blow_whistle,5,"['PRP', 'NP0', 'VVB-NN1', 'NP0', 'POS']",VBD,NN1,,,1,10,0.1368,Q
anyone who try to blow the whistle on the violence be intimidate or threaten,blow_whistle,1,['AT0'],TO0,VVD,PRP,AT0,1,14,-0.010777778,I
no sooner have derek bevan blow the final whistle at twickenham than faint noise could be hear from over the horizon,blow_whistle,2,"['AT0', 'AJ0']",NP0-NN1,NP0,PRP,NP0,1,21,0.307272727,L
a it be not over 'til the ref blow he whistle,blow_whistle,1,['DPS'],NN1,AT0,,,1,11,0.20075,L
he enter a second-class compartment moment before the guard wave he flag and blow he whistle,blow_whistle,1,['DPS'],CJC,NN1,,,1,16,0.1086,L
a shame ocean do not blow the whistle on it,blow_whistle,1,['AT0'],XX0,VDD,PRP,PNP,1,10,0.247333333,Q
surround by a hostile crowd who begin to hiss and hoot the policeman blow he whistle for assistance,blow_whistle,1,['DPS'],NN1,AT0,PRP,NN1,1,18,0.156083333,L
nick be some way along the line at the bend where the track curve round the mountain and carrie see he put he hand over he ear as the train blow it whistle,blow_whistle,1,['DPS'],NN1,AT0,,,1,33,0.421904762,L
lean out of the window just before the guard blow he whistle she say in a desperate voice i darling i darling you be happy here be not you and carrie be more than frightened then she be terrified,blow_whistle,1,['DPS'],NN1,AT0,PNP,VVD,1,39,0.188894737,L
ghetto people luv dem dat be why dem blow a whistle,blow_whistle,1,['AT0'],PNP,AVQ,,,2,11,-0.01625,L
when dey blow a whistle it be because dey dig de style,blow_whistle,1,['AT0'],PNP,CJS,PNP,VBZ,2,12,-0.05425,L
the low rumble of a juggernaut seem to vibrate all around we but we can immediately turn towards a high-pitched sound such as whistle be blow,blow_whistle,0,[],VBG,NN1,,,1,26,0.1884,L
she see he mouth move he be still talk but a train be blow it whistle and drown he voice which be extremely soft,blow_whistle,1,['DPS'],VBD,NN1,CJC,VVD,1,24,0.006916667,L
i regret i can shed little new light on the mystery of who blow the whistle on the celebrated dressing-room scene after woodfull be hit,blow_whistle,1,['AT0'],PNQ,PRF,PRP,AT0,1,25,0.0682,I
we use t er we use whistle we used to blow this whistle and tell he what material we want do you see,blow_whistle,1,['DT0'],TO0,VM0,CJC,VVB,3,23,0.082545455,L
if you want to be out on that pitch when the referee blow he whistle you have well do it now,blow_whistle,1,['DPS'],NN1,AT0,PNP,VHD,1,21,0.2389,L
